MTBLS1, 131
MTBLS2, 15
MTBLS3, 63
MTBLS4, 59
MTBLS5, 34
MTBLS6, 18
MTBLS7, 112
MTBLS8, 125
MTBLS9, N/A
MTBLS10, 29
MTBLS11, 106
MTBLS12, 68
MTBLS13, 82
MTBLS14, 95
MTBLS15, 94
MTBLS16, 82
MTBLS17, 1049
MTBLS18, N/A
MTBLS19, 359
MTBLS20, 147
MTBLS21, 39
MTBLS22, 29
MTBLS23, 11
MTBLS24, 105
MTBLS25, 7
MTBLS26, 17
MTBLS27, 109
MTBLS28, 2009
MTBLS29, 1703
MTBLS30, N/A
MTBLS31, 167
MTBLS32, 22
MTBLS33, 24
MTBLS34, 35
MTBLS35, 17
MTBLS36, 164
MTBLS37, 11
MTBLS38, 56
MTBLS39, 26
MTBLS40, 50
MTBLS41, 27
MTBLS42, 29
MTBLS43, 46
MTBLS44, 45
MTBLS45, 53
MTBLS46, 9
MTBLS47, 658
MTBLS48, 79
MTBLS49, 32
MTBLS50, N/A
MTBLS51, N/A
MTBLS52, 546
MTBLS53, N/A
MTBLS54, 39
MTBLS55, 77
MTBLS56, 53
MTBLS57, 47
MTBLS58, 15
MTBLS59, 83
MTBLS60, N/A
MTBLS61, 43
MTBLS62, 4066
MTBLS63, 4046
MTBLS64, 4134
MTBLS65, 4135
MTBLS66, 8166
MTBLS67, 11
MTBLS68, 3937
MTBLS69, 17
MTBLS70, N/A
MTBLS71, 234
MTBLS72, 1011
MTBLS73, 164
MTBLS74, 107
MTBLS75, 47
MTBLS76, N/A
MTBLS77, 72
MTBLS78, 122
MTBLS79, 207
MTBLS80, N/A
MTBLS81, 11
MTBLS82, N/A
MTBLS83, N/A
MTBLS84, N/A
MTBLS85, 33
MTBLS86, 99
MTBLS87, 13
MTBLS88, 11
MTBLS89, N/A
MTBLS90, 967
MTBLS91, 137
MTBLS92, 446
MTBLS93, 2138
MTBLS94, 455
MTBLS95, 17
MTBLS96, 29
MTBLS97, N/A
MTBLS98, 50
MTBLS99, 337
MTBLS100, 14
MTBLS101, N/A
MTBLS102, 10
MTBLS103, 31
MTBLS104, 41
MTBLS105, 266
MTBLS106, 7
MTBLS107, 35
MTBLS108, 35
MTBLS109, 35
MTBLS110, 35
MTBLS111, 35
MTBLS112, 295
MTBLS113, 113
MTBLS114, 14
MTBLS115, N/A
MTBLS116, 70
MTBLS117, 25
MTBLS118, 19
MTBLS119, 311
MTBLS120, 143
MTBLS121, 23
MTBLS122, N/A
MTBLS123, 1595
MTBLS124, 1137
MTBLS125, 59
MTBLS126, 71
MTBLS127, 25
MTBLS128, 15
MTBLS129, 23
MTBLS130, N/A
MTBLS131, 35
MTBLS132, 35
MTBLS133, 14
MTBLS134, 14
MTBLS135, 47
MTBLS136, 1648
MTBLS137, 40
MTBLS138, 159
MTBLS139, N/A
MTBLS140, 43
MTBLS141, N/A
MTBLS142, 171
MTBLS143, 311
MTBLS144, 71
